LIN,S3_V3_D3,S3_V2_D1,SER_9_1,SER_6_3,MEM2,MEM1,SAF,F2
10.315512,14.167468,13.775382,14.625202,13.393413,12.529108,16.357913,9.225272,10.014674
13.157695,32.995077,24.260045,31.247728,31.853987,22.340291,53.318784,19.351977,26.335516
15.734529,9.708919,10.005476,13.60693,32.032483,11.880721,57.528332,10.963182,10.297031
11.283714,13.587986,15.145577,14.720344,14.904205,11.734974,27.756111,6.583832,6.902388
5.533402,8.140575,7.55208,9.936684,6.604377,5.632005,55.34765,5.184471,5.677401
16.213017,17.974662,82.38858,18.715698,21.29703,31.811098,150.667872,23.662532,9.752058
10.066958,12.505005,10.420232,11.945653,14.233856,40.10611,57.872037,11.034497,11.216225
4.412471,7.099439,6.959762,10.140298,8.707729,5.223137,8.135977,4.690242,4.211472
6.57847,5.719105,5.784169,6.59531,9.43849,5.344944,8.764206,6.206308,5.769003
33.901825,33.335357,32.549977,29.453718,35.315311,22.731466,33.416132,24.347391,31.461857
2.976576,6.355519,5.132078,7.873217,5.338834,2.812212,2.428349,3.178366,2.805292
11.941565,8.618103,9.315794,9.5569,9.531333,7.94324,20.431424,8.874282,10.047324
4.077096,2.882607,3.158276,4.671516,3.602317,2.966579,5.653732,4.395198,3.242274
11.802721,13.494628,11.687372,14.05587,14.931104,6.512681,7.432091,6.446067,7.15647
7.269371,8.058684,7.688925,6.616449,4.371268,6.401864,4.89992,3.556048,4.362154
12.330922,9.800427,11.826024,16.455161,17.109891,6.954625,13.297182,4.827038,6.985551
3.508232,3.803796,3.803601,3.726793,3.309824,3.021894,5.457182,4.08877,3.443053
25.137162,15.111316,28.479439,16.054807,15.874624,13.256164,104.515299,10.067074,24.137714
16.013472,17.44853,16.888887,18.163224,16.476527,8.180169,19.193971,8.506292,6.941372
10.558399,17.935612,16.18444,15.323214,15.073334,8.609025,11.391114,5.455365,4.373818
5.729487,5.111203,7.793201,5.442728,6.013524,4.7568,6.929209,5.646126,5.889536
6.879326,6.884592,7.419555,9.421982,9.224209,4.836306,7.825091,4.160422,6.055439
128.602919,11.507787,110.277578,13.794611,44.156601,9.073834,105.265623,9.185467,9.241862
16.801016,15.028476,17.158564,16.45973,15.562466,9.897886,64.589607,37.538985,6.296293
8.324391,14.766074,14.752112,23.039938,23.365706,7.839175,59.802343,12.846676,7.920598
14.147482,20.204604,10.807769,20.168564,20.15576,8.338793,23.240797,10.421417,6.036818
3.481176,3.095849,3.068737,3.96697,3.218971,3.140707,5.113327,3.134774,3.116318
5.49867,3.996672,3.657794,5.333811,5.424527,2.691493,6.751848,2.571149,2.597146
10.891264,13.26687,10.479812,16.54128,15.361796,9.410376,23.256021,8.141958,7.887381
8.448247,9.715869,9.520406,11.981247,11.409995,8.288188,31.779733,8.091477,7.301607
7.942806,8.894201,9.312378,14.375727,13.055839,9.151159,8.996038,9.402305,5.293761
18.246571,45.449599,41.391012,117.527266,114.860211,10.890513,36.234528,15.169924,11.451631
5.732443,6.953776,7.339317,8.577045,9.255334,6.170335,114.298367,4.857291,4.021582
32.180816,23.549819,23.83626,26.661829,25.298153,16.397178,116.330574,22.170261,58.450948
7.951496,7.947372,7.934367,8.412753,12.167249,8.432184,15.994354,6.477307,5.827777
4.335303,4.709737,4.161445,8.680712,6.155015,4.203208,13.005221,3.423072,3.836945
14.384116,15.017907,22.303951,18.842788,20.029514,7.09323,28.202437,25.843966,4.396683
9.026517,8.351554,9.974172,10.963887,9.344852,9.241572,18.595798,10.520424,8.19905
14.339029,13.494469,15.161511,15.763951,18.397566,12.108745,28.251318,12.080957,10.821208
8.67294,6.799028,8.024097,11.614852,12.556685,8.926781,71.388065,9.718397,8.691014
17.470872,8.554808,11.555757,14.265018,14.889363,8.773906,15.490269,5.707345,7.486973
5.326727,5.042331,6.952743,6.232147,4.236658,4.351846,12.308267,4.387826,3.316425
43.250146,105.500828,86.059721,161.44377,122.880431,51.174077,64.708506,41.185172,71.028725
2.254115,2.063255,2.107354,2.197416,1.9443,1.776995,15.804509,2.213894,1.926551
36.700922,33.17818,31.03701,30.816912,41.279271,26.80058,251.173572,37.403142,26.728689
12.464364,15.955336,11.955667,21.078177,23.807131,5.425457,42.049329,4.229261,5.692676
13.947651,9.555904,16.155873,20.10015,26.879621,6.579425,80.635719,9.25151,10.465635
108.217822,102.367155,56.886578,94.212923,83.299185,104.469406,102.775131,182.310211,144.294564
9.518789,10.814343,9.527512,13.00242,13.923904,14.169717,11.528656,7.52946,16.337324
6.932593,5.910484,7.5099,6.927466,8.484471,7.517959,65.381107,79.544003,39.551146
30.73157,19.638463,18.734785,20.707565,23.424247,19.392281,135.341852,18.528289,18.727557
11.973834,6.85463,6.573746,12.788485,9.709141,9.275174,11.565885,17.046068,8.209759
65.320341,115.854292,109.490031,117.767973,127.552831,44.9607,240.939943,40.165989,132.104979
38.273294,49.030156,72.941677,105.753237,172.505822,55.913335,240.58581,40.63989,31.867752
38.02784,49.538124,38.093555,74.118587,86.88005,16.953423,336.481795,12.823276,18.431611
222.297343,104.309324,50.067396,142.51789,158.02943,175.254665,1288.50571,91.159812,144.000771
49.716548,26.008271,403.225583,21.307876,32.358968,42.610228,25.885018,69.538629,36.605496
21.333945,15.223509,35.220675,55.454537,78.821091,10.280744,39.585113,6.3996,8.008847
447.389572,108.035626,379.609643,202.370587,134.720825,35.571255,924.498551,36.637874,37.303931
16.360237,35.622551,36.56825,37.586797,46.546055,15.721565,71.861775,36.233828,12.060453
59.718319,30.997776,175.919902,50.196725,52.273741,62.000765,511.509202,173.467927,167.792235
15.33845,48.838886,19.034988,11.719288,28.480122,7.51693,32.10644,10.33883,8.288133
596.548207,49.829083,45.5674,69.286553,73.700303,16.831944,147.496789,48.664148,20.511226
25.751707,71.849251,94.259153,100.577227,99.133135,13.734362,325.273868,6.991617,24.078437
